application,approval,uid,gender,bal,prod_list,item,seq_len,label,brand_id,prod_id,age,mobile_level,item_price
0,0,1855,2,53442,"36,29,93",33,3,1,800,66,43,1,441.51
1,0,876,1,90692,"4,69,26",8,3,1,558,25,42,2,958.05
1,1,1003,1,33030,"38,86,77",75,3,1,448,16,50,3,705.99
0,1,1246,1,59095,"22,70,6",1,3,1,810,1,59,4,892.75
0,1,1287,1,95605,"57,63,39",25,3,1,431,71,55,3,595.81
0,1,771,2,59704,"50,13,39",84,3,1,957,73,27,2,726.75
1,0,304,1,51345,"93,58,33",10,3,1,49,79,45,4,364.39
0,0,1242,1,87302,"76,8,16",2,3,1,715,39,55,1,886.28
0,0,1855,1,11284,"69,47,92",40,3,1,665,95,35,1,221.38
0,0,381,2,14580,"5,53,33",14,3,1,886,13,45,1,3.58
0,0,491,2,79472,"97,40,59",100,3,1,738,3,32,1,872.42
0,1,956,2,81545,"12,10,55",11,3,1,617,58,20,1,727.11
0,0,654,1,93845,"16,3,99",20,3,1,881,60,54,1,264.67
0,0,848,1,72664,"99,47,71",26,3,1,200,87,36,3,356.13
0,0,680,1,25169,"14,47,97",41,3,1,131,11,47,3,757.73
0,0,1822,1,46865,"30,83,17",28,3,1,213,75,58,3,342.55
1,1,265,1,67159,"28,87,72",72,3,1,312,72,59,4,692.15
1,1,474,2,17968,"51,56,81",55,3,1,45,61,39,2,792.3
1,1,1727,1,33112,"33,74,55",41,3,1,384,54,39,2,844.26
0,1,1068,1,12736,"1,81,96",60,3,1,254,11,18,4,675.62
1,0,1226,1,95814,"45,1,11",70,3,1,830,26,38,1,422.17
0,1,758,1,45561,"56,43,79",1,3,1,127,14,21,2,618.15
1,0,1997,1,86112,"46,50,46",62,3,1,239,7,46,3,315.4
1,0,1314,1,86672,"100,97,88",67,3,1,471,51,56,3,391.9
1,1,229,1,34819,"35,21,45",64,3,1,795,44,24,1,108.09
1,0,944,1,76756,"83,22,30",70,3,1,469,99,21,3,86.63
1,0,69,2,38048,"81,19,44",36,3,1,423,72,21,1,508.71
1,1,1521,2,31078,"9,41,22",37,3,1,530,70,58,4,58.86
1,0,826,2,69014,"68,20,71",19,3,1,755,53,36,1,993.5
1,1,843,1,93174,"42,35,95",83,3,1,462,73,30,1,300.66
1,1,1621,1,88352,"91,23,45",61,3,1,488,76,26,4,901.97
0,1,1739,1,16706,"4,8,62",58,3,1,349,13,54,1,297.78
0,1,38,1,87538,"4,47,88",21,3,1,539,66,40,4,543.85
0,1,1945,2,11818,"16,91,21",53,3,1,962,8,22,2,812.36
0,1,1075,2,95293,"76,87,60",64,3,1,210,92,33,1,419.98
0,1,1471,1,60231,"14,27,1",71,3,1,917,19,58,2,451.79
0,0,1464,1,68339,"30,63,61",75,3,1,739,91,23,4,217.17
0,0,669,2,25035,"16,14,71",51,3,1,848,90,57,3,311.21
1,0,8,1,94323,"4,33,88",15,3,1,603,83,47,2,927.68
0,0,908,1,46291,"58,36,38",22,3,1,292,90,50,2,980.61
1,1,1968,1,99920,"26,15,53",7,3,1,803,71,24,4,237.6
0,1,1607,2,29546,"32,80,71",88,3,1,304,1,57,1,687.97
1,0,176,2,28160,"33,35,17",78,3,1,460,22,26,1,967.83
1,1,1979,2,80877,"74,66,84",39,3,1,827,66,20,1,125.6
0,1,1331,1,90151,"23,17,60",77,3,1,321,5,22,3,991.68
0,1,1008,1,73866,"8,41,99",71,3,1,50,63,44,2,42.96
0,0,209,2,85777,"18,67,99",32,3,1,610,68,35,3,801.95
0,0,131,2,20431,"100,89,79",12,3,1,682,32,37,4,253.27
0,1,1642,2,70544,"23,73,88",9,3,1,588,43,46,3,847.09
0,0,1005,2,43707,"92,26,30",97,3,1,955,98,55,4,930.03
0,0,829,2,73362,"40,80,4",25,3,1,248,91,39,2,571.44
1,0,1809,1,87113,"51,1,52",57,3,1,996,30,55,3,116.75
